id,Customer_Number,WEL_Address,Postal_Code,Conventional_System,Solar_System,Roof_Pitch,Azimuth,Installation_type,Age_Of_Home,Size_Of_Home,Water_Consumption,Electricity_Consumption
1,430028,WEL0806,B2Z,"Electricity, 40 IG tank, 3000 W",SB64,0,18,"Flat roof",36,2300,389,25921
2,430058,WEL0752,B3V,"Electricity, 40 IG tank, 3000 W",SB64,12,-25,"Wall mount",31,1680,NULL,21448
3,430104,WEL0754,B3E,"Electricity, 40 IG tank, 3000 W",SB32,7,43,"Flush mount",18,2500,NULL,16320
4,430146,WEL0756,B3T,"Electricity, 40 IG tank, 3000 W",SB64,4,0,"Flush mount",30,2400,NULL,18872
5,430171,WEL0799,B3N,"Electricity, 40 IG tank, 3000 W",SB64,5,-33,"Flush mount",60,2000,290,5467
6,430178,WEL0777,B2S,"Electricity, 40 IG tank, 3000 W",SB64,6,61,"Flush mount",5,2600,NULL,34154
7,430180,WEL0791,B2X,"Electricity, 40 IG tank, 3000 W",SB64,6,48,"Flush mount",20,3000,172,22295.1
8,430181,WEL0775,B3M,"Electricity, 40 IG tank, 3000 W",SB32,NULL,57,"Flush mount",5,1600,122,6927
9,430182,WEL0801,B2T,"Electricity, 40 IG tank, 3000 W",SB64,6,-45,"Flush mount",4.5,2000,NULL,7619
10,430215,WEL0773,B4E,"Electricity, 60 IG tank, 4500 W",SB32,6,17,"Flush mount",5,1200,109,27456
11,430231,WEL0810,B4C,Oil,SB64,12,30,"Tilted up",43,1500,263,12667
12,430262,WEL0805,B4B,"Electricity, 40 IG tank, 3000 W",SB64,10,16,"Flush mount",4,3500,NULL,10509
13,430270,WEL0815,B2Z,"Electricity, 40 IG tank, 3000 W",SB64,NULL,-6,NULL,25,2800,NULL,15235
14,430295,WEL0776,B3S,"Electricity, 60 IG tank, 4500 W",SB64,8,-5,"Flush mount",2,2700,205,19085
15,430320,WEL0802,B0J,Oil,SB32,5,-32,"Flush mount",17,3600,NULL,8036
16,430352,WEL0795,B2Y,"Electricity, 40 IG tank, 3000 W",SB32,7,11,"Flush mount",98,1100,94,5104
17,430357,WEL0798,B4B,"Electricity, 40 IG tank, 3000 W",SB64,6,-33,"Flush mount",9,2500,NULL,14258
18,430400,WEL0822,B3K,"Electricity, 40 IG tank, 3000 W",SB64,8.75,-45,"Flush mount",65,1000,157,2932
19,430407,WEL0809,B4B,"Electricity, 60 IG tank, 4500 W",SB64,5.5,35,"Flush mount",8,3600,NULL,19272
20,430410,WEL0804,B3H,"Electricity, 40 IG tank, 3000 W",SB64,4,-20,"Tilted up",100,2500,175,5840
21,430428,WEL0807,B3H,Oil,SB64,12,6,"Tilted up",NULL,1650,NULL,NULL
22,430429,WEL0846,B2Y,Oil,SB64,6.7,-18,"Flush mount",90,3800,197,3701
23,430440,WEL0774,B3K,"Electricity, 40 IG tank, 3000 W",SB32,5,25,"Flush mount",27,1250,NULL,12456
24,430453,WEL0792,B3A,"Electricity, 40 IG tank, 3000 W",SB32,4,47,"Flush mount",100,1200,61,NULL
25,430465,WEL0813,B3A,Oil,SB64,7,40,"Flush mount",55,1308,127,2077
26,430472,WEL0755,B3M,"Electricity, 40 IG tank, 3000 W",SB32,5,-22,"Flush mount",33,1000,162,20816
27,430485,WEL0803,B4A,"Electricity, 40 IG tank, 3000 W",SB64,9,45,"Flush mount",6,3000,182,6963
28,430511,WEL0823,B3A,"Electricity, 40 IG tank, 3000 W",SB64,6,-35,"Flush mount",60,1600,223,17338
29,430513,WEL0794,B3L,"Electricity, 40 IG tank, 3000 W",SB64,8,8,"Flush mount",13,3500,NULL,17092
30,430523,WEL0769,B2W,"Electricity, 40 IG tank, 3000 W",SB64,5,56,"Flush mount",14,3350,266,13968
